+0.000000, +1.000000, +0.000000
+0.000000, -1.000000, +0.000000
+0.000000, +0.187595, -0.982245
+0.000000, -0.187595, +0.982245
+0.000000, +0.745356, -0.666656
+0.000000, -0.745356, +0.666656
+0.000000, +0.794654, +0.607060
+0.000000, -0.794654, -0.607060
+0.356818, +0.333334, +0.872681
+0.356818, -0.333334, -0.872681
-0.356818, +0.333334, +0.872681
-0.356818, -0.333334, -0.872681
+0.525736, +0.794654, -0.303524
+0.525736, -0.794654, +0.303524
-0.525736, +0.794654, -0.303524
-0.525736, -0.794654, +0.303524
+0.577350, +0.333334, -0.745356
+0.577350, -0.333334, +0.745356
-0.577350, +0.333334, -0.745356
-0.577350, -0.333334, +0.745356
+0.577350, +0.745356, +0.333334
+0.577350, -0.745356, -0.333334
-0.577350, +0.745356, +0.333334
-0.577350, -0.745356, -0.333334
+0.850648, +0.187595, +0.491129
+0.850648, -0.187595, -0.491129
-0.850648, +0.187595, +0.491129
-0.850648, -0.187595, -0.491129
+0.934174, +0.333334, -0.127319
+0.934174, -0.333334, +0.127319
-0.934174, +0.333334, -0.127319
-0.934174, -0.333334, +0.127319
